tourney_date,w_aces,l_aces,w_doubleFaults,l_doubleFaults,w_firstServePointsAccuracy,l_firstServePointsAccuracy,w_secondServePointsAccuracy,l_secondServePointsAccuracy,w_breakPointsSaved,l_breakPointsSaved
20230116,16.0,9.0,3.0,2.0,72.0,55.0,21.0,21.0,8.0,9.0
20230116,8.0,6.0,0.0,5.0,36.0,36.0,17.0,10.0,1.0,5.0
20230116,18.0,5.0,2.0,5.0,62.0,47.0,21.0,22.0,6.0,7.0
20230116,10.0,10.0,5.0,14.0,52.0,37.0,15.0,17.0,1.0,3.0
20230116,15.0,12.0,2.0,2.0,89.0,87.0,33.0,34.0,15.0,17.0
20230116,3.0,2.0,5.0,3.0,49.0,51.0,30.0,19.0,2.0,3.0
20230116,9.0,4.0,2.0,7.0,32.0,22.0,16.0,13.0,0.0,6.0
20230116,9.0,7.0,6.0,2.0,54.0,53.0,24.0,20.0,1.0,14.0
20230116,19.0,21.0,8.0,3.0,92.0,88.0,31.0,31.0,1.0,7.0
20230116,8.0,10.0,6.0,3.0,49.0,57.0,31.0,20.0,0.0,5.0
20230116,16.0,2.0,1.0,1.0,44.0,31.0,12.0,12.0,0.0,1.0
20230116,13.0,13.0,7.0,12.0,55.0,59.0,27.0,11.0,7.0,6.0
20230116,10.0,37.0,3.0,5.0,86.0,101.0,33.0,27.0,10.0,17.0
20230116,10.0,16.0,2.0,1.0,64.0,73.0,23.0,15.0,4.0,13.0
20230116,18.0,6.0,2.0,3.0,79.0,74.0,21.0,25.0,5.0,7.0
20230116,2.0,5.0,2.0,4.0,51.0,52.0,36.0,19.0,8.0,4.0
20230116,3.0,7.0,4.0,6.0,43.0,46.0,18.0,16.0,4.0,10.0
20230116,20.0,15.0,4.0,5.0,70.0,56.0,31.0,31.0,11.0,6.0
20230116,16.0,20.0,6.0,16.0,80.0,65.0,17.0,34.0,12.0,10.0
20230116,3.0,9.0,5.0,3.0,53.0,52.0,19.0,19.0,2.0,5.0
20230116,7.0,6.0,5.0,2.0,44.0,41.0,20.0,18.0,1.0,4.0
20230116,6.0,3.0,5.0,4.0,57.0,45.0,25.0,14.0,7.0,4.0
20230116,8.0,5.0,2.0,7.0,63.0,58.0,33.0,30.0,7.0,5.0
20230116,9.0,3.0,5.0,3.0,51.0,43.0,15.0,15.0,4.0,14.0
20230116,10.0,3.0,1.0,3.0,41.0,43.0,20.0,13.0,4.0,11.0
20230116,5.0,9.0,2.0,2.0,50.0,40.0,15.0,16.0,2.0,3.0
20230116,8.0,6.0,4.0,2.0,31.0,37.0,20.0,17.0,3.0,15.0
20230116,11.0,15.0,2.0,4.0,60.0,47.0,13.0,19.0,5.0,7.0
20230116,12.0,14.0,3.0,1.0,52.0,51.0,21.0,11.0,4.0,6.0
20230116,10.0,6.0,3.0,3.0,36.0,22.0,21.0,13.0,4.0,2.0
20230116,5.0,7.0,1.0,5.0,63.0,50.0,19.0,27.0,0.0,8.0
20230116,7.0,2.0,2.0,4.0,37.0,37.0,19.0,16.0,4.0,9.0
20230116,15.0,1.0,2.0,3.0,43.0,18.0,14.0,14.0,3.0,3.0
20230116,8.0,19.0,5.0,3.0,65.0,66.0,33.0,27.0,7.0,6.0
20230116,12.0,11.0,3.0,3.0,81.0,66.0,26.0,23.0,22.0,6.0
20230116,9.0,20.0,3.0,7.0,71.0,69.0,25.0,22.0,2.0,3.0
20230116,22.0,8.0,4.0,12.0,77.0,63.0,27.0,37.0,12.0,8.0
20230116,4.0,3.0,3.0,2.0,33.0,26.0,16.0,14.0,0.0,6.0
20230116,23.0,19.0,1.0,2.0,88.0,84.0,35.0,30.0,2.0,5.0
20230116,11.0,2.0,1.0,3.0,54.0,51.0,28.0,23.0,8.0,9.0
20230116,12.0,4.0,0.0,2.0,40.0,30.0,13.0,13.0,2.0,6.0
20230116,9.0,7.0,2.0,4.0,53.0,49.0,22.0,15.0,8.0,4.0
20230116,14.0,6.0,5.0,3.0,45.0,39.0,16.0,9.0,5.0,9.0
20230116,7.0,24.0,3.0,6.0,66.0,71.0,27.0,32.0,2.0,12.0
20230116,18.0,10.0,5.0,1.0,69.0,62.0,25.0,26.0,1.0,7.0
20230116,12.0,4.0,5.0,0.0,40.0,24.0,21.0,14.0,7.0,4.0
20230116,7.0,15.0,3.0,3.0,54.0,50.0,21.0,19.0,2.0,3.0
20220117,4.0,3.0,2.0,5.0,33.0,25.0,15.0,12.0,1.0,7.0
20220117,9.0,3.0,5.0,2.0,42.0,33.0,17.0,12.0,2.0,5.0
20220117,9.0,0.0,5.0,4.0,42.0,23.0,12.0,21.0,7.0,6.0
20220117,10.0,2.0,3.0,2.0,58.0,51.0,16.0,13.0,9.0,8.0
20220117,11.0,2.0,2.0,3.0,34.0,24.0,17.0,11.0,6.0,4.0
20220117,30.0,3.0,11.0,5.0,69.0,60.0,18.0,23.0,7.0,7.0
20220117,7.0,3.0,5.0,4.0,57.0,70.0,28.0,11.0,6.0,7.0
20220117,10.0,26.0,7.0,4.0,70.0,85.0,49.0,32.0,6.0,11.0
20220117,6.0,6.0,5.0,2.0,44.0,24.0,13.0,14.0,3.0,5.0
20220117,5.0,4.0,2.0,4.0,51.0,45.0,26.0,23.0,8.0,4.0
20220117,11.0,3.0,1.0,4.0,41.0,26.0,19.0,22.0,2.0,8.0
20220117,8.0,12.0,2.0,3.0,45.0,45.0,18.0,2.0,3.0,3.0
20220117,12.0,2.0,3.0,3.0,33.0,35.0,15.0,16.0,0.0,9.0
20220117,9.0,10.0,2.0,8.0,78.0,62.0,15.0,29.0,2.0,7.0
20220117,5.0,3.0,7.0,4.0,52.0,45.0,18.0,18.0,4.0,5.0
20220117,21.0,12.0,2.0,2.0,57.0,57.0,30.0,19.0,8.0,8.0
20220117,14.0,1.0,6.0,3.0,57.0,48.0,10.0,22.0,0.0,14.0
20220117,6.0,26.0,0.0,5.0,55.0,57.0,25.0,18.0,5.0,15.0
20220117,7.0,3.0,5.0,2.0,52.0,42.0,20.0,23.0,1.0,2.0
20220117,11.0,14.0,1.0,2.0,68.0,70.0,36.0,21.0,4.0,7.0
20220117,23.0,11.0,0.0,3.0,51.0,44.0,18.0,16.0,0.0,1.0
20220117,7.0,3.0,5.0,6.0,47.0,35.0,14.0,19.0,2.0,3.0
20220117,15.0,12.0,10.0,8.0,65.0,60.0,24.0,18.0,6.0,7.0
20220117,13.0,6.0,5.0,4.0,58.0,65.0,28.0,28.0,2.0,6.0
20220117,16.0,5.0,2.0,5.0,72.0,60.0,24.0,21.0,8.0,7.0
20220117,18.0,14.0,3.0,6.0,55.0,45.0,24.0,30.0,11.0,7.0
20220117,7.0,1.0,3.0,4.0,50.0,49.0,25.0,21.0,3.0,12.0
20220117,7.0,6.0,8.0,4.0,72.0,78.0,38.0,28.0,9.0,19.0
20220117,17.0,5.0,2.0,2.0,62.0,44.0,17.0,26.0,4.0,7.0
20220117,21.0,11.0,0.0,4.0,41.0,35.0,13.0,21.0,0.0,9.0
20220117,4.0,6.0,2.0,3.0,38.0,29.0,21.0,14.0,8.0,4.0
20220117,7.0,2.0,2.0,2.0,43.0,26.0,13.0,13.0,2.0,4.0
20220117,4.0,12.0,4.0,0.0,81.0,77.0,22.0,25.0,3.0,5.0
20220117,0.0,1.0,0.0,2.0,48.0,29.0,7.0,13.0,3.0,1.0
20220117,9.0,4.0,4.0,4.0,40.0,30.0,18.0,14.0,3.0,5.0
20220117,4.0,2.0,0.0,2.0,42.0,38.0,19.0,20.0,3.0,13.0
20220117,13.0,13.0,1.0,7.0,63.0,56.0,30.0,31.0,4.0,10.0
20220117,8.0,5.0,1.0,1.0,41.0,41.0,16.0,9.0,1.0,7.0
20220117,15.0,19.0,5.0,3.0,72.0,82.0,39.0,23.0,2.0,10.0
20220117,3.0,1.0,2.0,3.0,42.0,31.0,18.0,16.0,0.0,5.0
20220117,3.0,6.0,1.0,6.0,61.0,47.0,19.0,27.0,4.0,10.0
20220117,10.0,7.0,3.0,2.0,58.0,45.0,16.0,23.0,1.0,5.0
20220117,7.0,14.0,3.0,4.0,69.0,63.0,25.0,20.0,3.0,8.0
20220117,16.0,4.0,0.0,2.0,44.0,36.0,17.0,22.0,2.0,3.0
20220117,8.0,10.0,4.0,4.0,60.0,54.0,28.0,29.0,7.0,9.0
20220117,30.0,13.0,13.0,3.0,70.0,77.0,35.0,26.0,8.0,10.0
20220117,3.0,1.0,2.0,4.0,70.0,61.0,9.0,22.0,5.0,11.0
20220117,6.0,2.0,3.0,4.0,39.0,33.0,18.0,16.0,9.0,6.0
20220117,13.0,10.0,3.0,5.0,30.0,29.0,17.0,13.0,4.0,3.0
20220117,3.0,10.0,3.0,5.0,55.0,57.0,28.0,32.0,3.0,10.0
20220117,5.0,0.0,5.0,3.0,47.0,52.0,18.0,18.0,6.0,11.0
20220117,17.0,2.0,3.0,5.0,35.0,21.0,14.0,12.0,2.0,4.0
20220117,10.0,1.0,2.0,2.0,34.0,24.0,15.0,15.0,0.0,5.0
20220117,16.0,12.0,5.0,2.0,78.0,74.0,24.0,17.0,13.0,5.0
20220117,3.0,5.0,1.0,3.0,41.0,35.0,22.0,14.0,4.0,6.0
20220117,8.0,3.0,7.0,1.0,49.0,68.0,32.0,19.0,6.0,13.0
20220117,3.0,3.0,5.0,3.0,38.0,35.0,17.0,13.0,6.0,9.0
20220117,4.0,4.0,4.0,6.0,53.0,45.0,19.0,24.0,4.0,15.0
20220117,5.0,3.0,2.0,4.0,41.0,47.0,25.0,24.0,6.0,12.0
20220117,31.0,39.0,20.0,2.0,90.0,91.0,46.0,35.0,9.0,5.0
20220117,12.0,9.0,6.0,4.0,65.0,71.0,27.0,31.0,1.0,7.0
20220117,8.0,5.0,1.0,2.0,48.0,38.0,12.0,13.0,2.0,5.0
20220117,21.0,6.0,1.0,2.0,47.0,36.0,11.0,20.0,1.0,4.0
20220117,10.0,1.0,3.0,0.0,48.0,35.0,18.0,14.0,4.0,2.0
20220117,7.0,9.0,0.0,3.0,64.0,60.0,31.0,28.0,8.0,4.0
20220117,7.0,7.0,3.0,3.0,46.0,30.0,21.0,22.0,9.0,5.0
20220117,11.0,4.0,1.0,8.0,35.0,32.0,18.0,12.0,4.0,9.0
20220117,11.0,7.0,8.0,11.0,74.0,72.0,34.0,30.0,13.0,4.0
20220117,6.0,8.0,3.0,4.0,99.0,87.0,32.0,29.0,18.0,9.0
20220117,10.0,10.0,9.0,14.0,78.0,70.0,24.0,41.0,7.0,10.0
20220117,3.0,0.0,3.0,2.0,45.0,36.0,13.0,10.0,0.0,5.0
20220117,21.0,1.0,1.0,5.0,55.0,50.0,17.0,12.0,4.0,10.0
20220117,14.0,0.0,7.0,0.0,47.0,18.0,5.0,21.0,2.0,3.0
20220117,3.0,11.0,1.0,2.0,48.0,44.0,24.0,25.0,5.0,8.0
20220117,18.0,5.0,5.0,4.0,57.0,48.0,20.0,16.0,7.0,7.0
20220117,29.0,3.0,10.0,6.0,97.0,82.0,26.0,39.0,3.0,12.0
20220117,6.0,11.0,0.0,2.0,42.0,34.0,17.0,14.0,9.0,8.0
20220117,6.0,6.0,3.0,3.0,47.0,48.0,17.0,17.0,2.0,10.0
20220117,19.0,2.0,2.0,4.0,47.0,38.0,14.0,17.0,3.0,7.0
20220117,1.0,5.0,5.0,1.0,35.0,34.0,25.0,20.0,2.0,12.0
20220117,2.0,7.0,3.0,2.0,57.0,54.0,25.0,14.0,14.0,4.0
20220117,11.0,3.0,3.0,0.0,44.0,35.0,15.0,13.0,3.0,2.0
20220117,12.0,7.0,2.0,3.0,45.0,44.0,21.0,16.0,9.0,5.0
20220117,11.0,5.0,2.0,1.0,37.0,33.0,18.0,15.0,1.0,3.0
20220117,5.0,3.0,1.0,5.0,28.0,22.0,18.0,10.0,1.0,9.0
20220117,21.0,6.0,6.0,3.0,55.0,41.0,23.0,26.0,6.0,10.0
20220117,14.0,7.0,9.0,6.0,63.0,65.0,39.0,28.0,5.0,8.0
20220117,12.0,5.0,3.0,4.0,76.0,73.0,21.0,23.0,4.0,14.0
20220117,13.0,2.0,3.0,5.0,34.0,31.0,21.0,16.0,4.0,9.0
20220117,20.0,6.0,2.0,4.0,51.0,56.0,29.0,21.0,1.0,4.0
20220117,,,,,,,,,,
20220117,28.0,6.0,6.0,2.0,89.0,77.0,28.0,31.0,7.0,3.0
20220117,7.0,5.0,3.0,7.0,54.0,48.0,22.0,18.0,6.0,7.0
20220117,18.0,4.0,12.0,3.0,61.0,43.0,23.0,16.0,5.0,1.0
20220117,16.0,3.0,1.0,1.0,29.0,27.0,11.0,13.0,4.0,3.0
20220117,31.0,17.0,5.0,2.0,67.0,67.0,20.0,14.0,7.0,7.0
20220117,2.0,13.0,3.0,8.0,55.0,59.0,40.0,17.0,11.0,7.0
20220117,14.0,4.0,4.0,6.0,38.0,35.0,20.0,13.0,1.0,4.0
20220117,10.0,21.0,6.0,8.0,68.0,66.0,32.0,26.0,11.0,9.0
20220117,10.0,12.0,2.0,8.0,90.0,71.0,21.0,36.0,9.0,5.0
20220117,16.0,5.0,7.0,1.0,57.0,34.0,7.0,16.0,5.0,3.0
20220117,10.0,17.0,5.0,3.0,59.0,63.0,31.0,28.0,3.0,9.0
20220117,11.0,16.0,2.0,6.0,66.0,86.0,38.0,31.0,6.0,19.0
20220117,4.0,14.0,6.0,3.0,55.0,50.0,18.0,14.0,4.0,10.0
20220117,8.0,1.0,2.0,3.0,36.0,46.0,17.0,8.0,0.0,8.0
20220117,10.0,11.0,2.0,8.0,52.0,41.0,8.0,18.0,2.0,10.0
20220117,19.0,10.0,6.0,6.0,49.0,53.0,23.0,21.0,6.0,9.0
20220117,21.0,11.0,2.0,9.0,59.0,58.0,33.0,33.0,2.0,8.0
20220117,24.0,17.0,3.0,2.0,52.0,63.0,29.0,20.0,0.0,4.0
20220117,16.0,1.0,3.0,3.0,39.0,25.0,13.0,14.0,3.0,1.0
20220117,28.0,17.0,4.0,2.0,54.0,52.0,30.0,17.0,3.0,5.0
20220117,10.0,3.0,6.0,0.0,47.0,33.0,15.0,19.0,3.0,7.0
20220117,17.0,4.0,4.0,4.0,48.0,48.0,21.0,28.0,5.0,7.0
20220117,28.0,2.0,1.0,2.0,62.0,57.0,12.0,17.0,1.0,5.0
20220117,3.0,3.0,11.0,8.0,50.0,46.0,18.0,6.0,3.0,2.0
20220117,16.0,7.0,6.0,4.0,42.0,40.0,24.0,23.0,1.0,12.0
20220117,9.0,7.0,0.0,2.0,52.0,44.0,26.0,14.0,7.0,3.0
20220117,19.0,13.0,1.0,4.0,85.0,66.0,25.0,29.0,13.0,2.0
20220117,22.0,24.0,4.0,8.0,62.0,66.0,26.0,29.0,0.0,13.0
20220117,15.0,18.0,6.0,18.0,71.0,77.0,29.0,32.0,1.0,9.0
20220117,12.0,15.0,2.0,7.0,76.0,58.0,34.0,32.0,11.0,7.0
20220117,8.0,20.0,11.0,5.0,79.0,58.0,21.0,31.0,6.0,4.0
20220117,4.0,4.0,2.0,1.0,42.0,30.0,15.0,13.0,0.0,0.0
20220117,15.0,18.0,9.0,4.0,94.0,91.0,36.0,25.0,9.0,2.0
20220117,5.0,14.0,2.0,2.0,51.0,50.0,20.0,15.0,1.0,4.0
20220117,13.0,5.0,4.0,1.0,61.0,56.0,21.0,23.0,2.0,8.0
20220117,3.0,23.0,5.0,5.0,78.0,89.0,34.0,23.0,16.0,15.0
20200120,5.0,0.0,5.0,2.0,31.0,32.0,16.0,8.0,3.0,10.0
20200120,11.0,4.0,4.0,5.0,52.0,43.0,21.0,24.0,3.0,8.0
20200120,12.0,22.0,1.0,4.0,55.0,54.0,28.0,15.0,3.0,8.0
20200120,12.0,8.0,3.0,2.0,58.0,43.0,20.0,26.0,1.0,4.0
20200120,14.0,12.0,1.0,3.0,59.0,50.0,12.0,17.0,0.0,4.0
20200120,9.0,1.0,2.0,0.0,38.0,27.0,19.0,10.0,7.0,3.0
20200120,4.0,6.0,4.0,2.0,54.0,30.0,10.0,9.0,6.0,4.0
20200120,10.0,6.0,1.0,2.0,59.0,55.0,30.0,31.0,1.0,5.0
20200120,6.0,3.0,4.0,3.0,44.0,26.0,15.0,12.0,7.0,3.0
20200120,13.0,14.0,3.0,7.0,58.0,48.0,18.0,23.0,1.0,3.0
20200120,28.0,21.0,4.0,15.0,80.0,80.0,40.0,41.0,6.0,5.0
20200120,14.0,8.0,3.0,7.0,59.0,67.0,35.0,25.0,4.0,12.0
20200120,17.0,4.0,0.0,3.0,44.0,40.0,13.0,12.0,2.0,4.0
20200120,16.0,11.0,3.0,6.0,78.0,76.0,25.0,27.0,8.0,4.0
20200120,11.0,9.0,3.0,4.0,57.0,76.0,30.0,25.0,4.0,6.0
20200120,7.0,5.0,4.0,3.0,44.0,28.0,21.0,19.0,6.0,5.0
20200120,13.0,3.0,12.0,2.0,45.0,45.0,26.0,17.0,6.0,5.0
20200120,1.0,10.0,3.0,1.0,44.0,50.0,20.0,11.0,6.0,6.0
20200120,2.0,5.0,2.0,1.0,62.0,60.0,25.0,16.0,12.0,19.0
20200120,12.0,11.0,2.0,3.0,40.0,36.0,22.0,9.0,4.0,2.0
20200120,46.0,18.0,4.0,4.0,99.0,102.0,23.0,18.0,3.0,2.0
20200120,5.0,10.0,3.0,0.0,72.0,87.0,33.0,21.0,6.0,6.0
20200120,10.0,7.0,1.0,1.0,43.0,43.0,22.0,22.0,0.0,5.0
20200120,21.0,1.0,1.0,3.0,57.0,65.0,36.0,24.0,2.0,4.0
20200120,8.0,2.0,2.0,5.0,39.0,28.0,15.0,13.0,2.0,3.0
20200120,14.0,8.0,5.0,5.0,61.0,77.0,44.0,23.0,11.0,7.0
20200120,7.0,6.0,0.0,1.0,34.0,13.0,16.0,14.0,1.0,1.0
20200120,8.0,15.0,2.0,3.0,46.0,63.0,23.0,22.0,1.0,11.0
20200120,22.0,14.0,4.0,4.0,80.0,75.0,37.0,28.0,11.0,11.0
20200120,5.0,5.0,2.0,6.0,45.0,29.0,12.0,17.0,1.0,5.0
20200120,21.0,13.0,3.0,5.0,80.0,86.0,26.0,27.0,4.0,10.0
20200120,8.0,3.0,4.0,1.0,66.0,44.0,8.0,20.0,8.0,7.0
20200120,11.0,4.0,5.0,4.0,33.0,39.0,22.0,7.0,2.0,4.0
20200120,13.0,6.0,2.0,3.0,49.0,41.0,22.0,13.0,4.0,5.0
20200120,4.0,2.0,2.0,2.0,33.0,27.0,21.0,11.0,3.0,4.0
20200120,18.0,7.0,1.0,4.0,41.0,33.0,17.0,20.0,1.0,7.0
20200120,6.0,8.0,1.0,1.0,45.0,46.0,18.0,13.0,2.0,6.0
20200120,17.0,10.0,8.0,7.0,67.0,75.0,39.0,29.0,7.0,13.0
20200120,5.0,7.0,1.0,12.0,45.0,32.0,23.0,14.0,11.0,10.0
